title,Cant_Inscriptos,course_type,institution,Level,subject,language,Duracion_Curso,Precio
How to Learn Online,"124,980",Self-paced on your time,edX,Introductory,Education & Teacher Training,English,2 Weeks,FREE-Add a Verified Certificate for $49 USD
Programming for Everybody (Getting Started with Python),"293,864",Self-paced on your time,The University of Michigan,Introductory,Computer Science,English,7 Weeks,FREE-Add a Verified Certificate for $49 USD
CS50's Introduction to Computer Science,"2,442,271",Self-paced on your time,Harvard University,Introductory,Computer Science,English,12 Weeks,FREE-Add a Verified Certificate for $90 USD
The Analytics Edge,"129,555",Instructor-led on a course schedule,Massachusetts Institute of Technology,Intermediate,Data Analysis & Statistics,English,13 Weeks,FREE-Add a Verified Certificate for $199 USD
Marketing Analytics: Marketing Measurement Strategy,"81,140",Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,4 Weeks,FREE-Add a Verified Certificate for $249 USD
Introduction to Project Management,"301,793",Self-paced on your time,University of Adelaide,Introductory,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $199 USD
Leading High-Performing Teams,"32,847",Self-paced on your time,The University of Queensland,Intermediate,Communication,English,10 Weeks,FREE-Add a Verified Certificate for $5 USD
The Foundations of Happiness at Work,"67,073",Self-paced on your time,"University of California, Berkeley",Introductory,Business & Management,English,4 Weeks,FREE-Add a Verified Certificate for $199 USD
"Managing Study, Stress and Mental Health at University","23,061",Self-paced on your time,Curtin University,Introductory,Health & Safety,English,2 Weeks,FREE-Add a Verified Certificate for $49 USD
Six Sigma: Define and Measure,"92,411",Self-paced on your time,Technische Universität München,Introductory,Business & Management,English,8 Weeks,FREE-Add a Verified Certificate for $99 USD
Fat Chance: Probability from the Ground Up,"66,835",Self-paced on your time,Harvard University,Introductory,Math,English,7 Weeks,FREE-Add a Verified Certificate for $49 USD
Chasing your Dream: How to End Procrastination and Get a Job You Love,"44,711",Self-paced on your time,National Research Nuclear University,Introductory,Communication,English,5 Weeks,FREE-Add a Verified Certificate for $49 USD
Bitcoin and Cryptocurrencies,"83,398",Self-paced on your time,"University of California, Berkeley",Introductory,Computer Science,English,6 Weeks,FREE-Add a Verified Certificate for $99 USD
English Grammar and Style,,Instructor-led on a course schedule,The University of Queensland,Introductory,Humanities,English,8 Weeks,FREE-Add a Verified Certificate for $99 USD
Ethics in Action,"6,366",Self-paced on your time,SDG Academy,Intermediate,Ethics,English,10 Weeks,FREE-Add a Verified Certificate for $49 USD
Introduction to FinTech,"72,767",Self-paced on your time,University of Hong Kong,Introductory,Economics & Finance,English,6 Weeks,FREE-Add a Verified Certificate for $199 USD
Data Science: R Basics,"528,782",Self-paced on your time,Harvard University,Introductory,Data Analysis & Statistics,English,8 Weeks,FREE-Add a Verified Certificate for $49 USD
Python Basics for Data Science,"228,809",Self-paced on your time,IBM,Introductory,Data Analysis & Statistics,English,5 Weeks,FREE-Add a Verified Certificate for $39 USD
The Science of Beer,"39,085",Self-paced on your time,Wageningen University & Research,Introductory,Food & Nutrition,English,6 Weeks,FREE-Add a Verified Certificate for $49 USD
Strategic Social Media Marketing,"103,640",Instructor-led on a course schedule,Boston University,Advanced,Business & Management,English,6 Weeks,FREE-Add a Verified Certificate for $399 USD
CS50's Introduction to Artificial Intelligence with Python,"258,006",Self-paced on your time,Harvard University,Introductory,Computer Science,English,7 Weeks,FREE-Add a Verified Certificate for $199 USD
CS50's Introduction to Game Development,"346,748",Self-paced on your time,Harvard University,Intermediate,Computer Science,English,12 Weeks,FREE-Add a Verified Certificate for $149 USD
Rhetoric: The Art of Persuasive Writing and Public Speaking,"320,225",Self-paced on your time,Harvard University,Introductory,Humanities,English,8 Weeks,FREE-Add a Verified Certificate for $99 USD
